Name,Price,Store Name,Product Link,Main Img Link,Date,Season,Category
Lit Halloween Glitter Twig Tree,$299 ,balsam hill,https://www.balsamhill.com/f/lit-halloween-glitter-twig-trees?sku=4003543,https://source.widen.net/content/mte9vyti5l/webp/WRG-2131000_6ft-Halloween-Glitter-LED-Twig-Tree_LED_SSC.webp,2026/7/9,fall,artificial plants
Lit Wooden Spooky Manor Halloween Countdown Calendar,$269 ,balsam hill,https://www.balsamhill.com/f/lit-wooden-halloween-countdown-calendar?sku=4107641,https://source.widen.net/content/q0qiqthtt7/webp/FGC-2431001_Lit-Wooden-Halloween-Countdown_Calendar_SSC.webp,2026/7/9,fall,artificial plants
Outdoor Spellbound Floating Candle Set,$89 ,balsam hill,https://www.balsamhill.com/f/outdoor-spellbound-floating-candles?sku=4101626,https://source.widen.net/content/wlehfkuyod/webp/CDL-2331002_Outdoor-Spellbound-Floating-Candles-Set-of-6_SSC.webp,2026/7/9,fall,artificial plants
Outdoor Fairytale Pumpkin Set,$399 ,balsam hill,https://www.balsamhill.com/f/fairytale-pumpkins?sku=4100862,https://source.widen.net/content/xudsgjn0vu/webp/OUT-2331002_Outdoor-Stackable-Fairytale-Pumpkins_Set-of-4_SSC.webp,2026/7/9,fall,artificial plants
"Orange Lit Stackable Jack-o'-Lanterns, Set of 3",$349 ,balsam hill,https://www.balsamhill.com/f/lit-stackable-jack-o-lantern-sets?sku=4100840,https://source.widen.net/content/hugataamqw/webp/ETT-2211000_Lit-Stackable-Grinning-Jack-o-Lanterns_Set-of-3_SSC.webp,2026/7/9,fall,artificial plants
Solar Jack-o'-Lantern Pathway Lights,$189 ,balsam hill,https://www.balsamhill.com/f/solar-halloween-pathway-lights?sku=4003544,https://source.widen.net/content/mwlmyxsy4m/webp/CDL-1841000_Solar-Powered-Jack-O-Lantern-Pathway-Lights-Set-of-4_SSC.webp,2026/7/9,fall,artificial plants
Lit Wooden Pumpkin Patch Halloween Countdown Calendar,$289 ,balsam hill,https://www.balsamhill.com/f/lit-wooden-halloween-countdown-calendar?sku=4101639,https://source.widen.net/content/6vaobfnpow/webp/FGC-2431001-1_Lit-Wooden-Pumpkin-Patch-Halloween-Countdown-Calendar_SSC.webp,2026/7/9,fall,artificial plants
Trick-or-Treat Mummy Critters Felt Ornament Set,$109 ,balsam hill,https://www.balsamhill.com/f/trick-or-treat-halloween-felt-ornament-collection?sku=4101643,https://source.widen.net/content/kmvsjcaisw/webp/ORN-2431000-3_Trick-or-Treat-Mummy-Critters-Felt-Ornaments-Set-of-6_SSCR.webp,2026/7/9,fall,artificial plants
Glowing Glass Pumpkins,$229 ,balsam hill,https://www.balsamhill.com/f/glowing-glass-pumpkins?sku=4003556,https://source.widen.net/content/ianrvcivny/webp/ETT-2131003_Glowing-Glass-Pumpkins-Set-of-3_SSC.webp,2026/7/9,fall,artificial plants
Howl-o-ween Hounds Felt Ornament Set,$109 ,balsam hill,https://www.balsamhill.com/f/trick-or-treat-halloween-felt-ornament-collection?sku=4107642,https://source.widen.net/content/uiu0xhme3h/webp/ORN-2431000_Howl-o-ween-Hounds-Felt-Ornaments-Set-of-6_SSCR.webp,2026/7/9,fall,artificial plants
