Name,Price,Store Name,Product Link,Main Img Link,Date,Season,Category
"Berries and Leaves Artificial Fall Harvest Pick Sprays - 8"" - Set of 3",$13.49,bed bath and beyond,https://www.bedbathandbeyond.com/Home-Garden/Berries-and-Leaves-Artificial-Fall-Harvest-Pick-Sprays-8-Set-of-3/44026475/product.html?refccid=IFJ3V3AY6QYI262OWSPVQETTPU&searchidx=0,https://ak1.ostkcdn.com/images/products/is/images/direct/61e9c1c4e9514f2063b4adc18fa76c9b3ce17fcd/Berries-and-Leaves-Artificial-Fall-Harvest-Pick-Sprays---8%22---Set-of-3.jpg,2026/7/9,fall,artificial plants
14 Autumn Harvest Maple Leaf Berry Rustic Wooden Box Centerpiece,$45.49,bed bath and beyond,https://www.bedbathandbeyond.com/Home-Garden/14-Autumn-Harvest-Maple-Leaf-and-Berry-Arrangement-in-Rustic-Wooden-Box-Centerpiece-N-A/29561916/product.html?refccid=IFJ3V3AY6QYI262OWSPVQETTPU&searchidx=1,https://ak1.ostkcdn.com/images/products/is/images/direct/58a8dad759b5d90d9eb688975df3fb71056d9802/Fall-Floral-Arrangment-with-Pumpkins-in-a-Rustic-Rectangular-Wooden-Box.jpg,2026/7/9,fall,artificial plants
"32"" Artificial Marigold Spray, Yellow, Set of 6 - 32",$20.40,bed bath and beyond,https://www.bedbathandbeyond.com/Home-Garden/32-Artificial-Marigold-Spray-Yellow-Set-of-6-32/40398013/product.html?refccid=IFJ3V3AY6QYI262OWSPVQETTPU&searchidx=2,https://ak1.ostkcdn.com/images/products/is/images/direct/6f4bbed75f38288a01aa2bbbe201274c09623d4e/32%22-Artificial-Marigold-Spray%2C-Yellow%2C-Set-of-6.jpg,2026/7/9,fall,artificial plants
Fall Foxtail Grass Bundle (Set of 6),$36.99,bed bath and beyond,https://www.bedbathandbeyond.com/Home-Garden/Fall-Foxtail-Grass-Bundle-Set-of-6/42887481/product.html?refccid=IFJ3V3AY6QYI262OWSPVQETTPU&searchidx=3,https://ak1.ostkcdn.com/images/products/is/images/direct/fa4a1609c8130df27f3cac33cf1c8470a5e79bab/Fall-Foxtail-Grass-Bundle-%28Set-of-6%29.jpg,2026/7/9,fall,artificial plants
Harvest Centerpiece Silk Plant,$78.74,bed bath and beyond,https://www.bedbathandbeyond.com/Home-Garden/Harvest-Centerpiece-Silk-Plant/5314910/product.html?refccid=IFJ3V3AY6QYI262OWSPVQETTPU&searchidx=4,https://ak1.ostkcdn.com/images/products/5314910/Harvest-Centerpiece-Silk-Plant-9c6784fc-f941-4f5a-b5d3-c5d0d4631289.jpg,2026/7/9,fall,artificial plants
"21"" Autumn Arrangement a ""Thankful"" Rustic Wood Box Centerpiece",$90.99,bed bath and beyond,https://www.bedbathandbeyond.com/Home-Garden/24-Pumpkins-Pomegranate-with-Maple-Leaves-Thankful-in-a-Long-Wood-Pot-N-A/29358840/product.html?refccid=IFJ3V3AY6QYI262OWSPVQETTPU&searchidx=5,https://ak1.ostkcdn.com/images/products/is/images/direct/410d24f664b494aab29d9d517bc2afab7e587a47/21%22-Autumn-Harvest-Arrangement-in-a-%22Thankful%22-Rustic-Wooden-Box-Centerpiece.jpg,2026/7/9,fall,artificial plants
Pure Garden 6 Ft Artificial Fiddle Leaf Fig Tree Indoor/Outdoor Office,$109.59,bed bath and beyond,https://www.bedbathandbeyond.com/Home-Garden/72-Artificial-Fiddle-Leaf-Fig-Tree-Faux-Plant-in-Pot-with-Natural-Feel-Leaves-Realistic-Indoor-Potted-Topiary-by-Pure-Garden/27741495/product.html?refccid=IFJ3V3AY6QYI262OWSPVQETTPU&searchidx=6,https://ak1.ostkcdn.com/images/products/is/images/direct/5abf793eeb32a0cc7a1433fac379d025e575ecac/Pure-Garden-6-Ft-Artificial-Fiddle-Leaf-Fig-Tree-Indoor-Outdoor-Office.jpg,2026/7/9,fall,artificial plants
Fall Sunflower Spray (Set of 12),$52.99,bed bath and beyond,https://www.bedbathandbeyond.com/Home-Garden/Fall-Sunflower-Spray-Set-of-12/42887484/product.html?refccid=IFJ3V3AY6QYI262OWSPVQETTPU&searchidx=7,https://ak1.ostkcdn.com/images/products/is/images/direct/17f8a83ed253e12032f95a49732b6fa0da996ef9/Fall-Sunflower-Spray-%28Set-of-12%29.jpg,2026/7/9,fall,artificial plants
51-Inch Giant Tropical Yucca Artificial Tree UV Resistant,$75.94,bed bath and beyond,https://www.bedbathandbeyond.com/Home-Garden/Pure-Garden-51-Inch-Tropical-Yucca-Artificial-Tree/39131634/product.html?refccid=IFJ3V3AY6QYI262OWSPVQETTPU&searchidx=8,https://ak1.ostkcdn.com/images/products/is/images/direct/7203fb32e3b897f929a77a3a2aae1d43e41cca04/Pure-Garden-51-Inch-Tropical-Yucca-Artificial-Tree.jpg,2026/7/9,fall,artificial plants
Mixed Fall Foliage Bush (Set of 6),$37.99,bed bath and beyond,https://www.bedbathandbeyond.com/Home-Garden/Mixed-Fall-Foliage-Bush-Set-of-6/42887501/product.html?refccid=IFJ3V3AY6QYI262OWSPVQETTPU&searchidx=9,https://ak1.ostkcdn.com/images/products/is/images/direct/9574ad2eac35fec1226d5d4821d11154c141f2aa/Mixed-Fall-Foliage-Bush-%28Set-of-6%29.jpg,2026/7/9,fall,artificial plants
