Name,Price,Store Name,Product Link,Main Img Link,Date,Season,Category
Laurel leaves bush - flame,$8.47,greenerymarket,https://greenerymarket.com/collections/fall/products/laurel-leaves-bush-flame?_pos=1&_fid=d0e2fcf15&_ss=c,https://greenerymarket.com/cdn/shop/files/laurel-leaves-bush-flame84481-oryel-271463.jpg,2026/7/9,fall,artificial plants
"Green Nandina Leaf Spray - 30""",$8.47,greenerymarket,https://greenerymarket.com/collections/fall/products/green-nandina-leaf-spray-30?_pos=2&_fid=d0e2fcf15&_ss=c,https://greenerymarket.com/cdn/shop/files/green-nandina-leaf-spray-302751156gr-8711847.jpg,2026/7/9,fall,artificial plants
"Rust Orange Brown Nandina Leaf Spray - 30""",$8.47,greenerymarket,https://greenerymarket.com/collections/fall/products/rust-orange-brown-nandina-leaf-spray-30?_pos=3&_fid=d0e2fcf15&_ss=c,https://greenerymarket.com/cdn/shop/files/rust-orange-brown-nandina-leaf-spray-302751156ro-1548290.jpg,2026/7/9,fall,artificial plants
"Orange Satin Eucalyptus Mini Bush - 9.5""",$7.97,greenerymarket,https://greenerymarket.com/collections/fall/products/orange-satin-eucalyptus-mini-bush-9-5?_pos=4&_fid=d0e2fcf15&_ss=c,https://greenerymarket.com/cdn/shop/files/orange-satin-eucalyptus-mini-bush-95fl7052og-2527376.jpg,2026/7/9,fall,artificial plants
"Orange & Yellow Leaf Bundle - 20""",$7.97,greenerymarket,https://greenerymarket.com/collections/fall/products/orange-yellow-salal-leaf-bundle-20?_pos=5&_fid=d0e2fcf15&_ss=c,https://greenerymarket.com/cdn/shop/files/orange-yellow-leaf-bundle-20fl7094ogy-3144488.jpg,2026/7/9,fall,artificial plants
"Gold Beech Leaf Spray - 35""",$11.97,greenerymarket,https://greenerymarket.com/collections/fall/products/gold-beech-leaf-spray-35?_pos=6&_fid=d0e2fcf15&_ss=c,https://greenerymarket.com/cdn/shop/files/gold-beech-leaf-spray-35fl7135go-3929778.jpg,2026/7/9,fall,artificial plants
"Rust Beech Leaf Spray - 35""",$11.97,greenerymarket,https://greenerymarket.com/collections/fall/products/rust-beech-leaf-spray-35?_pos=7&_fid=d0e2fcf15&_ss=c,https://greenerymarket.com/cdn/shop/files/rust-beech-leaf-spray-35fl7135rt-9205608.jpg,2026/7/9,fall,artificial plants
"Mustard Velvet Leaf With Berry Bush - 16""",$16.97,greenerymarket,https://greenerymarket.com/collections/fall/products/mustard-velvet-leaf-with-berry-bush-16?_pos=8&_fid=d0e2fcf15&_ss=c,https://greenerymarket.com/cdn/shop/files/mustard-velvet-leaf-with-berry-bush-16xf686mus-3639212.jpg,2026/7/9,fall,artificial plants
"Pumpkin Velvet Leaf With Berry Bush - 16""",$16.97,greenerymarket,https://greenerymarket.com/collections/fall/products/pumpkin-velvet-leaf-with-berry-bush-16?_pos=9&_fid=d0e2fcf15&_ss=c,https://greenerymarket.com/cdn/shop/files/pumpkin-velvet-leaf-with-berry-bush-16xf686pum-3047432.jpg,2026/7/9,fall,artificial plants
"Orange tipped Boxwood, greenery, fall boxwood",$8.27,greenerymarket,https://greenerymarket.com/collections/fall/products/orange-tipped-boxwood-greenery-fall-boxwood?_pos=10&_fid=d0e2fcf15&_ss=c,https://greenerymarket.com/cdn/shop/files/orange-tipped-boxwood-greenery-fall-boxwood13137fa-8000027.jpg,2026/7/9,fall,artificial plants
