Name,Price,Store Name,Product Link,Main Img Link,Date,Season,Category
Cosmos Pick,$1.79 ,hobbylobby,https://www.hobbylobby.com/fall-thanksgiving/fall-flowers-garlands-wreaths/fall-picks/walnut---cosmos-pick/p/81234880,https://cdn.media.amplience.net/s/hobbylobby/6322671-81234880-06032026-IMGSET,2026/7/9,fall,artificial plants
Burgundy & Brown Foliage Pick,$2.99 ,hobbylobby,https://www.hobbylobby.com/fall-thanksgiving/fall-flowers-garlands-wreaths/fall-picks/burgundy-brown-foliage-pick/p/81284441,https://cdn.media.amplience.net/s/hobbylobby/6414023-81284441-05192026-IMGSET,2026/7/9,fall,artificial plants
"Eucalyptus, Maple & Berry Wreath",$30.59 ,hobbylobby,https://www.hobbylobby.com/fall-thanksgiving/fall-flowers-garlands-wreaths/fall-wreaths/eucalyptus-maple-berry-wreath/p/81234979,https://cdn.media.amplience.net/s/hobbylobby/6322937-81234979-05292026-IMGSET,2026/7/9,fall,artificial plants
Brown Eucalyptus Mini Wreath,$8.39 ,hobbylobby,https://www.hobbylobby.com/fall-thanksgiving/fall-flowers-garlands-wreaths/fall-wreaths/brown-eucalyptus-mini-wreath/p/81282870,https://cdn.media.amplience.net/s/hobbylobby/6411219-81282870-06012026-IMGSET,2026/7/9,fall,artificial plants
Plum Leaf & Berries Pick,$2.39 ,hobbylobby,https://www.hobbylobby.com/fall-thanksgiving/fall-flowers-garlands-wreaths/fall-picks/plum-leaf-berries-pick/p/81184275,https://cdn.media.amplience.net/s/hobbylobby/6037899-81184275-05282026-IMGSET,2026/7/9,fall,artificial plants
Brown Magnolia Leaf Pick,$1.79 ,hobbylobby,https://www.hobbylobby.com/fall-thanksgiving/fall-flowers-garlands-wreaths/fall-picks/brown-magnolia-leaf-pick/p/81284469,https://cdn.media.amplience.net/s/hobbylobby/6414080-81284469-05142026-IMGSET,2026/7/9,fall,artificial plants
Foxtail & Eucalyptus Bush,$7.19 ,hobbylobby,https://www.hobbylobby.com/fall-thanksgiving/fall-flowers-garlands-wreaths/fall-bushes-greenery/foxtail-eucalyptus-bush/p/81070433,https://cdn.media.amplience.net/s/hobbylobby/5685979-81070433-06122026-IMGSET,2026/7/9,fall,artificial plants
"Red, Orange & Cream Ball Mum Bush",$5.39 ,hobbylobby,https://www.hobbylobby.com/fall-thanksgiving/fall-flowers-garlands-wreaths/fall-bushes-greenery/red-orange-cream-ball-mum-bush/p/81183585,https://cdn.media.amplience.net/s/hobbylobby/6033351-81183585-05292026-IMGSET,2026/7/9,fall,artificial plants
Laurel Leaf & Berry Wreath,$28.19 ,hobbylobby,https://www.hobbylobby.com/fall-thanksgiving/fall-flowers-garlands-wreaths/fall-wreaths/laurel-leaf-berry-wreath/p/81235045,https://cdn.media.amplience.net/s/hobbylobby/6322986-81235045-06122026-IMGSET,2026/7/9,fall,artificial plants
Green & Brown Eucalyptus Pick,$1.49 ,hobbylobby,https://www.hobbylobby.com/fall-thanksgiving/fall-flowers-garlands-wreaths/fall-picks/green-brown-eucalyptus-pick/p/80936118,https://cdn.media.amplience.net/s/hobbylobby/5041801-80936118-05282026-IMGSET,2026/7/9,fall,artificial plants
