Name,Price,Store Name,Product Link,Main Img Link,Date,Season,Category
24 in.? Sitting Scarecrow (Set of 2)?,$15.99 ,homedepot,https://www.homedepot.com/p/24-in-Sitting-Scarecrow-Set-of-2-2232/305652878,https://images.thdstatic.com/productImages/d7b548d929ab4b57a7d570b58c318a5d/svn/indoor-fall-decorations-2232-64_600.jpg,2026/7/9,fall,artificial plants
Nearly Natural 39 in.? Autumn Maple Artificial Tree,$59.99 ,homedepot,https://www.homedepot.com/p/Nearly-Natural-39-in-Autumn-Maple-Artificial-Tree-9998/310678051,https://images.thdstatic.com/productImages/3b1474b6-efff-4dcd-a0af-2e00f2be965b/svn/nearly-natural-indoor-fall-decorations-9998-64_600.jpg,2026/7/9,fall,artificial plants
Glitzhome 13 in.? H Fall Stacked Fabric Pumpkin,$29.98 ,homedepot,https://www.homedepot.com/p/Glitzhome-13-in-H-Fall-Stacked-Fabric-Pumpkin-2005500075/331093334,https://images.thdstatic.com/productImages/61007d84-b919-443f-ab54-9907a77b7f18/svn/glitzhome-indoor-fall-decorations-2005500075-64_600.jpg,2026/7/9,fall,artificial plants
"National Tree Company 14""? Sunflower and Pumpkin Decorated Harvest Lantern",$33.26 ,homedepot,https://www.homedepot.com/p/National-Tree-Company-14-Sunflower-and-Pumpkin-Decorated-Harvest-Lantern-RAHV-1006SK4019/322890992,https://images.thdstatic.com/productImages/8114dc4a-54ff-453f-9503-5b84bc3bafd3/svn/national-tree-company-indoor-fall-decorations-rahv-1006sk4019-64_600.jpg,2026/7/9,fall,artificial plants
Glitzhome 5.?12 in.? H Pumpkin Small Glass in Blue,$17.49 ,homedepot,https://www.homedepot.com/p/Glitzhome-5-12-in-H-Pumpkin-Small-Glass-in-Blue-1209002501/306161777,https://images.thdstatic.com/productImages/eeab4cff-526e-456a-9f8b-6014688c13e5/svn/glitzhome-indoor-fall-decorations-1209002501-64_600.jpg,2026/7/9,fall,artificial plants
Nearly Natural 5 ft.? Orange Autumn Eucalyptus Artificial Tree,$88.10 ,homedepot,https://www.homedepot.com/p/Nearly-Natural-5-ft-Orange-Autumn-Eucalyptus-Artificial-Tree-T2782/318210180,https://images.thdstatic.com/productImages/ba6daf4c-5c62-4839-868a-dfc415581c11/svn/nearly-natural-indoor-fall-decorations-t2782-64_600.jpg,2026/7/9,fall,artificial plants
Nearly Natural 26 in.? Harvest Artificial Foliage Centerpiece,$48.99 ,homedepot,https://www.homedepot.com/p/Nearly-Natural-26-in-Harvest-Artificial-Foliage-Centerpiece-4910/202510755,https://images.thdstatic.com/productImages/dc933e25-0c61-4bf2-a649-5ffdbd83d322/svn/nearly-natural-indoor-fall-decorations-4910-64_600.jpg,2026/7/9,fall,artificial plants
"Nearly Natural 25 in.? Orange Fall Ranunculus, Hydrangea and Berries Autumn Artificial Wreath",$45.99 ,homedepot,https://www.homedepot.com/p/Nearly-Natural-25-in-Orange-Fall-Ranunculus-Hydrangea-and-Berries-Autumn-Artificial-Wreath-W1229/318210201,https://images.thdstatic.com/productImages/8442a0c0-3f7e-421c-9c50-255fa2224585/svn/nearly-natural-indoor-fall-decorations-w1229-64_600.jpg,2026/7/9,fall,artificial plants
Glitzhome 8.?66 in.? D x 6.?69 in.? H Multi-?Striped Glass Large Pumpkin,$44.98 ,homedepot,https://www.homedepot.com/p/Glitzhome-8-66-in-D-x-6-69-in-H-Multi-Striped-Glass-Large-Pumpkin-GH1209003456/311284240,https://images.thdstatic.com/productImages/592dc0e2-3ea1-45af-b08a-1fbf1b06d99b/svn/glitzhome-indoor-fall-decorations-gh1209003456-64_600.jpg,2026/7/9,fall,artificial plants
"Nearly Natural 33 in.? Green Fall Sunflower, Hydrangea and White Pumpkin Artificial Autumn Teardrop",$19.67 ,homedepot,https://www.homedepot.com/p/Nearly-Natural-33-in-Green-Fall-Sunflower-Hydrangea-and-White-Pumpkin-Artificial-Autumn-Teardrop-W1241/318210230,https://images.thdstatic.com/productImages/72e7f8a9-e9f8-4e48-855b-58454114c4a5/svn/nearly-natural-indoor-fall-decorations-w1241-64_600.jpg,2026/7/9,fall,artificial plants
Northlight Peonies Artificial Fall Harvest Twig Wreath 22 in.? Unlit,$49.98 ,homedepot,https://www.homedepot.com/p/Northlight-Peonies-Artificial-Fall-Harvest-Twig-Wreath-22-in-Unlit-34868421/336051949,https://images.thdstatic.com/productImages/67761c83-d3c7-460a-8b0f-2c85aff9356e/svn/northlight-indoor-fall-decorations-34868421-64_600.jpg,2026/7/9,fall,artificial plants
Glitzhome 4.?25 in.? Fall Resin Christmas Highland Cow Table Decor (Set of 2)?,$29.98 ,homedepot,https://www.homedepot.com/p/Glitzhome-4-25-in-Fall-Resin-Christmas-Highland-Cow-Table-Decor-Set-of-2-2029700014/337684698,https://images.thdstatic.com/productImages/f3681996-4c11-443b-8cb1-0cec530657d4/svn/glitzhome-indoor-fall-decorations-2029700014-64_600.jpg,2026/7/9,fall,artificial plants
"National Tree Company 14""? Mum Flower and Berries Decorated Harvest Lantern",$33.28 ,homedepot,https://www.homedepot.com/p/National-Tree-Company-14-Mum-Flower-and-Berries-Decorated-Harvest-Lantern-RAHV-1006SK4016/322890972,https://images.thdstatic.com/productImages/e096cc80-2651-4cd4-9e94-cbe6456b25c2/svn/national-tree-company-indoor-fall-decorations-rahv-1006sk4016-64_600.jpg,2026/7/9,fall,artificial plants
Nearly Natural 6ft.? Brown Fall Magnolia Artificial Tree,$126.40 ,homedepot,https://www.homedepot.com/p/Nearly-Natural-6ft-Brown-Fall-Magnolia-Artificial-Tree-T2786/318210223,https://images.thdstatic.com/productImages/fd869b00-381d-40ec-bb5b-f7b94f477765/svn/nearly-natural-indoor-fall-decorations-t2786-64_600.jpg,2026/7/9,fall,artificial plants
"National Tree Company 14""? Sunflower and Burlap Bow Decorated Harvest Lantern",$51.99 ,homedepot,https://www.homedepot.com/p/National-Tree-Company-14-Sunflower-and-Burlap-Bow-Decorated-Harvest-Lantern-RAHV-1006SK4018/322890979,https://images.thdstatic.com/productImages/d9f90f86-cf46-488d-b31e-72e05fe0ce41/svn/national-tree-company-indoor-fall-decorations-rahv-1006sk4018-64_600.jpg,2026/7/9,fall,artificial plants
Glitzhome 5.?25 in.? Fall Wooden Christmas Word Signs Tiered Tray Table Decor (Set of 4)?,$19.98 ,homedepot,https://www.homedepot.com/p/Glitzhome-5-25-in-Fall-Wooden-Christmas-Word-Signs-Tiered-Tray-Table-Decor-Set-of-4-2030200016/337684895,https://images.thdstatic.com/productImages/436317df-5965-400a-aa16-156f620149be/svn/glitzhome-indoor-fall-decorations-2030200016-64_600.jpg,2026/7/9,fall,artificial plants
Nearly Natural 6 ft.? Orange Autumn Maple Artificial Tree,$126.75 ,homedepot,https://www.homedepot.com/p/Nearly-Natural-6-ft-Orange-Autumn-Maple-Artificial-Tree-T2797-OG/318210206,https://images.thdstatic.com/productImages/9d92493e-68a9-4f7b-95f6-9d136fc30688/svn/nearly-natural-indoor-fall-decorations-t2797-og-64_600.jpg,2026/7/9,fall,artificial plants
Glitzhome 5.?51 in.? H Pumpkin Turquoise Crackle Glass,$18.99 ,homedepot,https://www.homedepot.com/p/Glitzhome-5-51-in-H-Pumpkin-Turquoise-Crackle-Glass-1209001417/306161783,https://images.thdstatic.com/productImages/a0775b60-8ec8-450e-b43c-ede6e512dc92/svn/glitzhome-indoor-fall-decorations-1209001417-64_600.jpg,2026/7/9,fall,artificial plants
Northlight 24 in.? Autumn Harvest Peony Mum & Feather Artificial Thanksgiving Floral Wreath -? Unlit,$64.98 ,homedepot,https://www.homedepot.com/p/Northlight-24-in-Autumn-Harvest-Peony-Mum-Feather-Artificial-Thanksgiving-Floral-Wreath-Unlit-32275286/306932864,https://images.thdstatic.com/productImages/45315ee6-9e45-4f5c-90bd-165dc51ef906/svn/northlight-indoor-fall-decorations-32275286-64_600.jpg,2026/7/9,fall,artificial plants
Nearly Natural 6 ft.? Orange Autumn Eucalyptus Artificial Tree,$199.00 ,homedepot,https://www.homedepot.com/p/Nearly-Natural-6-ft-Orange-Autumn-Eucalyptus-Artificial-Tree-T2783/318210181,https://images.thdstatic.com/productImages/c48833a9-59a6-4e33-baef-71aa86740780/svn/nearly-natural-indoor-fall-decorations-t2783-64_600.jpg,2026/7/9,fall,artificial plants
Flora Bunda 6 in.? D x 7.?25 in.? H Large Green Velvet Pumpkin,$29.99 ,homedepot,https://www.homedepot.com/p/Flora-Bunda-6-in-D-x-7-25-in-H-Large-Green-Velvet-Pumpkin-DF953-GN/315045124,https://images.thdstatic.com/productImages/45e606bc-7bcc-4c08-b4fd-8f6eff114720/svn/flora-bunda-indoor-fall-decorations-df953-gn-64_600.jpg,2026/7/9,fall,artificial plants
Nearly Natural 4 ft.? Brown Fall Magnolia Artificial Tree,$74.92 ,homedepot,https://www.homedepot.com/p/Nearly-Natural-4-ft-Brown-Fall-Magnolia-Artificial-Tree-T2788/318210208,https://images.thdstatic.com/productImages/564a8263-4678-481a-a7db-fd894cdf91ea/svn/nearly-natural-indoor-fall-decorations-t2788-64_600.jpg,2026/7/9,fall,artificial plants
"National Tree Company 13""? Sunflower and Eucalyptus Decorated Harvest Lantern",$33.29 ,homedepot,https://www.homedepot.com/p/National-Tree-Company-13-Sunflower-and-Eucalyptus-Decorated-Harvest-Lantern-RAHV-1006SK2021/322890968,https://images.thdstatic.com/productImages/945178de-0593-4bbc-8aa1-7a5cc015e960/svn/national-tree-company-indoor-fall-decorations-rahv-1006sk2021-64_600.jpg,2026/7/9,fall,artificial plants
Northlight Mini Pumpkins Wooden Fall Harvest Sign-?22 in.?,$24.98 ,homedepot,https://www.homedepot.com/p/Northlight-Mini-Pumpkins-Wooden-Fall-Harvest-Sign-22-in-35771133/336051934,https://images.thdstatic.com/productImages/0a95dd70-bedb-499d-bae5-0b2395071040/svn/northlight-indoor-fall-decorations-35771133-64_600.jpg,2026/7/9,fall,artificial plants
Glitzhome 7.?75 in.? H Fall Wooden Pumpkin Patch Pumpkins Table Sign,$24.98 ,homedepot,https://www.homedepot.com/p/Glitzhome-7-75-in-H-Fall-Wooden-Pumpkin-Patch-Pumpkins-Table-Sign-2006200036/330894698,https://images.thdstatic.com/productImages/7bc3c170-8425-4058-b2a4-c4980756f32e/svn/glitzhome-indoor-fall-decorations-2006200036-64_600.jpg,2026/7/9,fall,artificial plants
Northlight Plaid Pumpkins Wooden Fall Harvest Sign-?11 in.?,$16.98 ,homedepot,https://www.homedepot.com/p/Northlight-Plaid-Pumpkins-Wooden-Fall-Harvest-Sign-11-in-35771131/336051933,https://images.thdstatic.com/productImages/4992d63d-a388-4582-97cf-3f3cf44af0e6/svn/northlight-indoor-fall-decorations-35771131-64_600.jpg,2026/7/9,fall,artificial plants
Northlight 14 in.? Red Truck with Pumpkins Fall Harvest Sign Decoration,$24.98 ,homedepot,https://www.homedepot.com/p/Northlight-14-in-Red-Truck-with-Pumpkins-Fall-Harvest-Sign-Decoration-35269840/336051940,https://images.thdstatic.com/productImages/15295ac8-3fbf-4269-8002-8c1492591cd3/svn/northlight-indoor-fall-decorations-35269840-64_600.jpg,2026/7/9,fall,artificial plants
Northlight 24 in.? Autumn Harvest Decorative Artificial Fall Leaves Berries Pinecones & Sunflowers Wreath -? Unlit,$49.98 ,homedepot,https://www.homedepot.com/p/Northlight-24-in-Autumn-Harvest-Decorative-Artificial-Fall-Leaves-Berries-Pinecones-Sunflowers-Wreath-Unlit-32257211/306932877,https://images.thdstatic.com/productImages/b3374b9e-58c9-47c3-8066-b388a5cd559e/svn/northlight-indoor-fall-decorations-32257211-64_600.jpg,2026/7/9,fall,artificial plants
Northlight Pampas Grass and Dried Fall Harvest Floral Wreath-?11 in.?,$19.98 ,homedepot,https://www.homedepot.com/p/Northlight-Pampas-Grass-and-Dried-Fall-Harvest-Floral-Wreath-11-in-35737354/336051952,https://images.thdstatic.com/productImages/46df512c-f422-4b99-b749-0d53d468fa3c/svn/northlight-indoor-fall-decorations-35737354-64_600.jpg,2026/7/9,fall,artificial plants
Northlight 24 in.? Autumn Harvest Cattail and Wheat Artificial Thanksgiving Wreath -? Unlit,$64.98 ,homedepot,https://www.homedepot.com/p/Northlight-24-in-Autumn-Harvest-Cattail-and-Wheat-Artificial-Thanksgiving-Wreath-Unlit-32275392/306932856,https://images.thdstatic.com/productImages/88d26638-fed1-433d-b28f-3146be236dd5/svn/northlight-indoor-fall-decorations-32275392-64_600.jpg,2026/7/9,fall,artificial plants
Northlight Plaid Gnomes Fall Harvest Wooden Sign-?10 in.?,$19.98 ,homedepot,https://www.homedepot.com/p/Northlight-Plaid-Gnomes-Fall-Harvest-Wooden-Sign-10-in-35771130/336051932,https://images.thdstatic.com/productImages/d583a444-8990-403e-9193-3d61d95b4e09/svn/northlight-indoor-fall-decorations-35771130-64_600.jpg,2026/7/9,fall,artificial plants
Northlight 24 in.? Autumn Harvest Decorative Artificial Berries Leaves Pine Cones and Twigs Wreath -? Unlit,$54.98 ,homedepot,https://www.homedepot.com/p/Northlight-24-in-Autumn-Harvest-Decorative-Artificial-Berries-Leaves-Pine-Cones-and-Twigs-Wreath-Unlit-32258312/306932876,https://images.thdstatic.com/productImages/f23899c7-29b9-47eb-a6e4-200b4032b604/svn/northlight-indoor-fall-decorations-32258312-64_600.jpg,2026/7/9,fall,artificial plants
Flora Bunda 4.?75 in.? D x 6.?5 in.? H Small Gold Velvet Pumpkin,$19.99 ,homedepot,https://www.homedepot.com/p/Flora-Bunda-4-75-in-D-x-6-5-in-H-Small-Gold-Velvet-Pumpkin-DF955-GD/315045132,https://images.thdstatic.com/productImages/b9eed8a1-14b0-4487-a82f-8aed0e19b675/svn/flora-bunda-indoor-fall-decorations-df955-gd-64_600.jpg,2026/7/9,fall,artificial plants
