Name,Price,Store Name,Product Link,Main Img Link,Date,Season,Category
Nature Spring 16.5-in Welcome Hanging decoration Wreath,$34.85 ,lowes,https://www.lowes.com/pd/Nature-Spring-Boxwood-Wreath-Artificial-Wreath-for-the-Front-Door-by-Nature-Spring-Home-Decor-UV-Resistant-16-5-in/5001380155,https://mobileimages.lowes.com/productimages/8f4846a6-6c9d-4b4a-888a-2b8757c36878/88055657.jpeg,2026/7/9,fall,artificial plants
Gerson International 14.2-in Lighted Truck Free standing decoration,$34.85 ,lowes,https://www.lowes.com/pd/Gerson-International-Antique-galvanized-14-2-in-metal-tractor/5006034567,https://mobileimages.lowes.com/productimages/9ad03f39-dd1b-4fc9-be0e-a8b5d6096924/44820941.jpg,2026/7/9,fall,artificial plants
Glitzhome 8-in Tabletop decoration,$34.85 ,lowes,https://www.lowes.com/pd/Glitzhome-8-in-Tabletop-Decoration/5015354761,https://mobileimages.lowes.com/productimages/096fe4db-cb4d-4ffd-9f39-ffb8e643a39e/67070352.jpeg,2026/7/9,fall,artificial plants
National Tree Company Harvest Tabletop Lantern Decoration,$34.85 ,lowes,https://www.lowes.com/pd/National-Tree-Company/5004298965,https://mobileimages.lowes.com/productimages/d6582aa9-af63-439c-9d62-cd9154501861/68115719.jpeg,2026/7/9,fall,artificial plants
Nearly Natural 24-in Lighted Harvest Artificial tree Tree,$36.99 ,lowes,https://www.lowes.com/pd/Nearly-Natural-24-in-Lighted-Harvest-Artificial-tree-Tree/5019057431,https://mobileimages.lowes.com/productimages/3a1a5830-0d3b-4d0d-993c-121402c411f2/72320554.jpeg,2026/7/9,fall,artificial plants
Northlight 8-in Craft pumpkin,$36.99 ,lowes,https://www.lowes.com/pd/Northlight-8-in-Craft-Pumpkin/5015205681,https://mobileimages.lowes.com/productimages/4e983f32-d193-4243-bcf3-a4a59c520dea/73277039.jpeg,2026/7/9,fall,artificial plants
Nearly Natural Lighted Harvest Artificial Tree,$36.99 ,lowes,https://www.lowes.com/pd/Nearly-Natural-48-in-Lighted-Harvest-Artificial-tree-Tree/5019057287,https://mobileimages.lowes.com/productimages/3cdc6c6d-be34-4266-a6d7-b90402abc823/72320544.jpeg,2026/7/9,fall,artificial plants
Nearly Natural Lighted Harvest Artificial Tree,$36.99 ,lowes,https://www.lowes.com/pd/Nearly-Natural-60-in-Harvest-Artificial-tree-Tree/5019057461,https://mobileimages.lowes.com/productimages/e4b92c34-de74-4533-91ab-95f2cf8ad945/72320593.jpeg,2026/7/9,fall,artificial plants
Worth Imports 3-in Leaves Free standing decoration 6 -Pack,$24.98 ,lowes,https://www.lowes.com/pd/Worth-Imports-3-in-Leaves-Free-Standing-Decoration-6-Pack/6298183,https://mobileimages.lowes.com/productimages/bc014604-da98-4bcf-85bd-14610fd710c2/67024599.jpeg,2026/7/9,fall,artificial plants
Worth Imports 16.01-in Pumpkin Hanging decoration,$24.98 ,lowes,https://www.lowes.com/pd/Worth-Imports-16-01-in-Pumpkin-Hanging-Decoration/6298064,https://mobileimages.lowes.com/productimages/d1c3bc45-aab0-4e48-a2cb-64652db8a415/67024239.jpeg,2026/7/9,fall,artificial plants
