Name,Price,Store Name,Product Link,Main Img Link,Date,Season,Category
6ft. Orange Japanese Maple Artificial Potted Tree,$65.79,michaels,https://www.michaels.com/product/6ft-orange-japanese-maple-artificial-potted-tree-D804629S,https://imgs.michaels.com/6a2faac6-c067-4e4e-84d8-86f5205b461f.jpg,2026/7/9,fall,artificial plants
"4ft. Black Artificial Halloween Tree in Urn, Orange LED Lights",$85.99,michaels,https://www.michaels.com/product/4ft-black-artificial-halloween-tree-in-urn-orange-led-lights-D479090S,https://imgs.michaels.com/e6a3c673-5411-48a5-ad12-bcd6291efe86.jpg,2026/7/9,fall,artificial plants
6ft. Green Autumn Nandina Artificial Potted Tree,$60.19,michaels,https://www.michaels.com/product/6ft-green-autumn-nandina-artificial-potted-tree-D804626S,https://imgs.michaels.com/2ea13cb2-9946-47e4-8713-61867d59bf97.jpg,2026/7/9,fall,artificial plants
3ft. UV Resistant Autumn Artificial Fall Cedar Tree (Indoor/Outdoor),$45.99,michaels,https://www.michaels.com/product/3ft-uv-resistant-autumn-artificial-fall-cedar-tree-indooroutdoor-D856025S,https://imgs.michaels.com/8175d49c-0b75-4786-bfdb-645572050b14.jpg,2026/7/9,fall,artificial plants
4PCS Maple Leaves Bunch with Silk Pumpkin Autumn Floral Stems for DIY Arrangment Fall Decor Fall Decorations for Home,$55.11,michaels,https://www.michaels.com/product/4pcs-maple-leaves-bunch-with-silk-pumpkin-autumn-floral-stems-for-diy-arrangment-fall-decor-fall-decorations-for-home-533071251827884038,https://static.platform.michaels.com/2c-prd/en_US/157809166373744.jpeg,2026/7/9,fall,artificial plants
4ft. Orange Autumn Birch Leaf Artificial Potted Tree,$29.39,michaels,https://www.michaels.com/product/4ft-orange-autumn-birch-leaf-artificial-potted-tree-D804628S,https://imgs.michaels.com/bfd155b8-ba27-4666-9f36-e579738111a9.jpg,2026/7/9,fall,artificial plants
6ft. Potted Orange Autumn Maple Tree,$196.69,michaels,https://www.michaels.com/product/6ft-potted-orange-autumn-maple-tree-D478508S,https://imgs.michaels.com/8f482263-f66f-4eeb-b30b-26de5a0fff61.jpg,2026/7/9,fall,artificial plants
"Glitzhome? 24"" Fall Maple Leaf Urn Table Tree",$28.99,michaels,https://www.michaels.com/product/glitzhome-24-fall-maple-leaf-urn-table-tree-D799020S,https://imgs.michaels.com/719fbd44-08b1-4d02-8111-20f91580f6f2.jpg,2026/7/9,fall,artificial plants
3-Pack Mini Artificial Eucalyptus Plants with Wood Tray – Farmhouse Table Centerpiece Decor,$67.43,michaels,https://www.michaels.com/product/3pack-mini-artificial-eucalyptus-plants-with-wood-tray-farmhouse-table-centerpiece-decor-434636324555276288,https://static.platform.michaels.com/2c-prd/en_US/99736268965936.jpeg,2026/7/9,fall,artificial plants
"Spring Table Decor Faux White Tulips Arrangement, Spring Easter Tabletop Floral Centerpiece, Artificial Tulip Lavender Eucalyptus Boxwood and Bow in Rectangular Wood Box for Home Decoration, 14in",$86.17,michaels,https://www.michaels.com/product/spring-table-decor-faux-white-tulips-arrangement-spring-easter-tabletop-floral-centerpiece-artificial-tulip-lavender-eucalyptus-boxwood-and-bow-in-rectangular-wood-box-for-home-decoration-14in-433929779604897793,https://static.platform.michaels.com/2c-prd/en_US/235400304185392.jpg,2026/7/9,fall,artificial plants
