Name,Price,Store Name,Product Link,Main Img Link,Date,Season,Category
4’ Autumn Eucalyptus Artificial Tree,$49.99,Nearly Natural,https://www.nearlynatural.com/collections/fall-products/products/4-autumn-eucalyptus-artificial-tree?_pos=1&_fid=f921a1740&_ss=c,http://cdn.shopify.com/s/files/1/0108/9460/6436/products/artificial-4-autumn-eucalyptus-artificial-tree-nearly-natural-540984.jpg,2026/7/9,fall,artificial plants
5’ Autumn Birch Artificial Fall Tree,$110.39,Nearly Natural,https://www.nearlynatural.com/collections/fall-products/products/5-autumn-birch-artificial-fall-tree?_pos=2&_fid=f921a1740&_ss=c,http://cdn.shopify.com/s/files/1/0108/9460/6436/products/artificial-5-autumn-birch-artificial-fall-tree-tree-nearly-natural-486634.jpg,2026/7/9,fall,artificial plants
6' Autumn Sumac Artificial Fall Tree,$189.99,Nearly Natural,https://www.nearlynatural.com/collections/fall-products/products/6-autumn-sumac-artificial-fall-tree-real-touch?_pos=3&_fid=f921a1740&_ss=c,http://cdn.shopify.com/s/files/1/0108/9460/6436/files/artificial-6-ft-autumn-sumac-artificial-fall-tree-nearly-natural-410419.jpg,2026/7/9,fall,artificial plants
"4' Pre-Lit Autumn Maple Artificial Fall Tree with Pinecones, Acorns and 60 Warm White LED Lights",$89.99,Nearly Natural,https://www.nearlynatural.com/collections/fall-products/products/4-fall-maple-tree-w-pinecones-acorns-36-warm-white-leds?_pos=4&_fid=f921a1740&_ss=c,http://cdn.shopify.com/s/files/1/0108/9460/6436/files/artificial-4-pre-lit-autumn-maple-artificial-fall-tree-with-pinecones-acorns-and-60-warm-white-led-lights-tree-nearly-natural-636811.jpg,2026/7/9,fall,artificial plants
7' Autumn Nandina Artificial Fall Tree,$209.99,Nearly Natural,https://www.nearlynatural.com/collections/fall-products/products/7-autumn-nandina-artificial-fall-tree-real-touch?_pos=5&_fid=f921a1740&_ss=c,http://cdn.shopify.com/s/files/1/0108/9460/6436/files/artificial-7-autumn-nandina-artificial-fall-tree-tree-nearly-natural-840308.jpg,2026/7/9,fall,artificial plants
5' Pre-Lit Burnt Orange Autumn Maple Artificial Fall Tree with 240 Warm White LED Lights,$194.99,Nearly Natural,https://www.nearlynatural.com/collections/fall-products/products/5-pre-lit-fall-maple-tree-with-240-warm-white-led-lights?_pos=6&_fid=f921a1740&_ss=c,http://cdn.shopify.com/s/files/1/0108/9460/6436/files/artificial-5-pre-lit-burnt-orange-autumn-maple-artificial-fall-tree-with-240-warm-white-led-lights-tree-nearly-natural-531059.jpg,2026/7/9,fall,artificial plants
4' Pre-Lit Deluxe Autumn Maple Artificial Fall Tree with 68 Warm White LED Lights,$139.99,Nearly Natural,https://www.nearlynatural.com/collections/fall-products/products/4-artificial-fall-maple-tree-with-68-warm-white-led-lights?_pos=7&_fid=f921a1740&_ss=c,http://cdn.shopify.com/s/files/1/0108/9460/6436/files/artificial-4-pre-lit-deluxe-autumn-maple-artificial-fall-tree-with-68-warm-white-led-lights-tree-nearly-natural-853429.jpg,2026/7/9,fall,artificial plants
5' Pre-Lit Autumn Maple Artificial Fall Tree with Berries and 96 Warm White LED Lights,$114.99,Nearly Natural,https://www.nearlynatural.com/collections/fall-products/products/5-pre-lit-fall-maple-tree-w-berries-96-warm-white-leds?_pos=8&_fid=f921a1740&_ss=c,http://cdn.shopify.com/s/files/1/0108/9460/6436/files/artificial-5-pre-lit-autumn-maple-artificial-fall-tree-with-berries-and-96-warm-white-led-lights-tree-nearly-natural-218568.jpg,2026/7/9,fall,artificial plants
20” Autumn Boston Fern Artificial Plant (Set of 3,$49.19,Nearly Natural,https://www.nearlynatural.com/collections/fall-products/products/20-autumn-boston-fern-artificial-plant-set-of-3?_pos=9&_fid=f921a1740&_ss=c,http://cdn.shopify.com/s/files/1/0108/9460/6436/products/artificial-20-autumn-boston-fern-artificial-plant-set-of-3-nearly-natural-389328.jpg,2026/7/9,fall,artificial plants
4' Pre-Lit Green Autumn Oak Artificial Fall Tree with 150 Warm White LED Lights,$89.99,Nearly Natural,https://www.nearlynatural.com/collections/fall-products/products/4-pre-lit-fall-maple-tree-with-150-warm-white-led-lights?_pos=10&_fid=f921a1740&_ss=c,http://cdn.shopify.com/s/files/1/0108/9460/6436/files/artificial-4-ft-pre-lit-green-autumn-oak-artificial-fall-tree-with-150-warm-white-led-lights-nearly-natural-209884.jpg,2026/7/9,fall,artificial plants
