Name,Price,Store Name,Product Link,Main Img Link,Date,Season,Category
Autumn Sunrise Silk Flower Centerpiece,$165.00,petals,https://petals.com/autumn-sunrise-silk-flower-centerpiece/,https://cdn11.bigcommerce.com/s-r932bs4ubb/images/stencil/1280x1280/products/5480/6056/flb774-mp_zoom__20947.1619268911.jpg?c=1,2026/7/9,fall,artificial plants
Golden Maple Faux Foliage Wreath,$69.00,petals,https://petals.com/golden-maple-faux-foliage-wreath/,https://cdn11.bigcommerce.com/s-r932bs4ubb/images/stencil/1280x1280/products/6115/6932/wra242-na__69148.1631471545.jpg?c=1,2026/7/9,fall,artificial plants
Bittersweet & Birch Silk Flower Arrangement,$165.00,petals,https://petals.com/bittersweet-birch-silk-flower-arrangement/,https://cdn11.bigcommerce.com/s-r932bs4ubb/images/stencil/1280x1280/products/6481/9036/flc999-na__04698.1691179621.jpg?c=1,2026/7/9,fall,artificial plants
"Zinnia, Gerbera & Lily Silk Flower Centerpiece",$235.00,petals,https://petals.com/zinnia-gerbera-lily-silk-flower-centerpiece/,https://cdn11.bigcommerce.com/s-r932bs4ubb/images/stencil/1280x1280/products/5422/6020/flb527-na_zoom__16892.1619268878.jpg?c=1,2026/7/9,fall,artificial plants
Spider Mum & Blackberries Silk Flower Centerpiece,$165.00,petals,https://petals.com/spider-mum-blackberries-silk-flower-centerpiece/,https://cdn11.bigcommerce.com/s-r932bs4ubb/images/stencil/1280x1280/products/5521/6086/flb897-na_zoom__71048.1661217364.jpg?c=1,2026/7/9,fall,artificial plants
Harvest Moon Silk Flower Autumn Accent,$75.00,petals,https://petals.com/harvest-moon-silk-flower-autumn-accent/,https://cdn11.bigcommerce.com/s-r932bs4ubb/images/stencil/1280x1280/products/6477/9033/fla996-na__38665.1691178758.jpg?c=1,2026/7/9,fall,artificial plants
Fall Chestnut Silk Wreath,$89.00,petals,https://petals.com/fall-chestnut-silk-wreath/,https://cdn11.bigcommerce.com/s-r932bs4ubb/images/stencil/1280x1280/products/6610/9360/wra372-na__45741.1755734040.jpg?c=1,2026/7/9,fall,artificial plants
Autumn Maple Silk Wreath,$99.00,petals,https://petals.com/autumn-maple-silk-wreath/,https://cdn11.bigcommerce.com/s-r932bs4ubb/images/stencil/1280x1280/products/5830/6596/wra165-na_zoom__25674.1619269419.jpg?c=1,2026/7/9,fall,artificial plants
"Maple, Pinecone & Berry Autumn Faux Foliage Accent",$99.00,petals,https://petals.com/maple-pinecone-berry-autumn-faux-foliage-accent/,https://cdn11.bigcommerce.com/s-r932bs4ubb/images/stencil/1280x1280/products/6611/9358/pld416-na__55819.1755733897.jpg?c=1,2026/7/9,fall,artificial plants
Sunshine Harvest Silk Flower Garden Arrangement,$139.00,petals,https://petals.com/sunshine-harvest-silk-flower-garden-arrangement/,https://cdn11.bigcommerce.com/s-r932bs4ubb/images/stencil/1280x1280/products/6609/9356/flc436-yeo__87789.1755733721.jpg?c=1,2026/7/9,fall,artificial plants
Cornucopia Artificial Autumn Arrangement,$139.00,petals,https://petals.com/cornucopia-artificial-autumn-arrangement/,https://cdn11.bigcommerce.com/s-r932bs4ubb/images/stencil/1280x1280/products/6608/9354/flb434-na__04567.1755730766.jpg?c=1,2026/7/9,fall,artificial plants
Sunflower & Zinnia Quart Jar Artificial Autumn Accent,$99.00,petals,https://petals.com/sunflower-zinnia-quart-jar-artificial-autumn-accent/,https://cdn11.bigcommerce.com/s-r932bs4ubb/images/stencil/1280x1280/products/6607/9348/fla921-mp__57690.1755729960.jpg?c=1,2026/7/9,fall,artificial plants
"Lily, Ranunculus & Berries Faux Flower Centerpiece",$259.00,petals,https://petals.com/lily-ranunculus-berries-faux-flower-centerpiece/,https://cdn11.bigcommerce.com/s-r932bs4ubb/images/stencil/1280x1280/products/6598/9328/flb196-mp__09268.1742936425.jpg?c=1,2026/7/9,fall,artificial plants
Sunflower & Rosehips Faux Flower Autumn Accent,$109.00,petals,https://petals.com/sunflower-rosehips-faux-flower-autumn-accent/,https://cdn11.bigcommerce.com/s-r932bs4ubb/images/stencil/1280x1280/products/6606/9351/fla198-na__76909.1755730243.jpg?c=1,2026/7/9,fall,artificial plants
"Hydrangea, Zinnia & Daisies Silk Flower Autumn Centerpiece",$259.00,petals,https://petals.com/hydrangea-zinnia-daisies-silk-flower-autumn-centerpiece/,https://cdn11.bigcommerce.com/s-r932bs4ubb/images/stencil/1280x1280/products/6283/8119/flb317-mp__75217.1660766235.jpg?c=1,2026/7/9,fall,artificial plants
Pumpkins & Berries Autumn Teardrop,$89.00,petals,https://petals.com/pumpkins-berries-autumn-teardrop/,https://cdn11.bigcommerce.com/s-r932bs4ubb/images/stencil/1280x1280/products/6117/6936/wra244-na__79675.1661954637.jpg?c=1,2026/7/9,fall,artificial plants
Autumn Whirlwind Faux Flower Arrangement,$139.00,petals,https://petals.com/autumn-whirlwind-faux-flower-arrangement/,https://cdn11.bigcommerce.com/s-r932bs4ubb/images/stencil/1280x1280/products/6539/9210/flc162-na__27117.1723590231.jpg?c=1,2026/7/9,fall,artificial plants
"Maple, Pomegranate & Pinecone Faux Autumn Wreath",$99.00,petals,https://petals.com/maple-pomegranate-pinecone-faux-autumn-wreath/,https://cdn11.bigcommerce.com/s-r932bs4ubb/images/stencil/1280x1280/products/6543/9228/wra342-na__86071.1723591784.jpg?c=1,2026/7/9,fall,artificial plants
"Maple, Pomegranate & Pinecone Faux Autumn Centerpiece",$99.00,petals,https://petals.com/maple-pomegranate-pinecone-faux-autumn-centerpiece/,https://cdn11.bigcommerce.com/s-r932bs4ubb/images/stencil/1280x1280/products/6545/9202/flb161-na__68979.1723589709.jpg?c=1,2026/7/9,fall,artificial plants
"Maple, Pomegranate & Pinecone Faux Autumn Teardrop",$69.00,petals,https://petals.com/maple-pomegranate-pinecone-faux-autumn-teardrop/,https://cdn11.bigcommerce.com/s-r932bs4ubb/images/stencil/1280x1280/products/6544/9230/wra344-na__71772.1723591836.jpg?c=1,2026/7/9,fall,artificial plants
"Rose, Hydrangea & Sunflower Silk Flower Accent",$69.00,petals,https://petals.com/rose-hydrangea-sunflower-silk-flower-accent/,https://cdn11.bigcommerce.com/s-r932bs4ubb/images/stencil/1280x1280/products/5250/5895/fla671-mp_zoom__40756.1619268771.jpg?c=1,2026/7/9,fall,artificial plants
