Name,Price,Store Name,Product Link,Main Img Link,Date,Season,Category
Faux Lit Autumnal Wreath & Garland,$ 129 – $ 179,potterybarn,https://www.potterybarn.com/products/lit-autumnal-wreath-garland/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202626/0604/faux-lit-autumnal-wreath-garland-l.jpg,2026/7/9,fall,artificial plants
Faux Oak Leaf & Rust Hydrangea Bundle,$ 79.50,potterybarn,https://www.potterybarn.com/products/oak-leaf-hydrangea-bundle-rust/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202618/0526/oak-leaf-hydrangea-bundle-rust-5-l.jpg,2026/7/9,fall,artificial plants
Faux Golden Turning Ginkgo Branch,$ 39.50,potterybarn,https://www.potterybarn.com/products/golden-turning-ginkgo-branch/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202618/0627/golden-turning-ginkgo-branch-l.jpg,2026/7/9,fall,artificial plants
Faux Olive Trees,$249,potterybarn,https://www.potterybarn.com/products/potted-olive-tree/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202608/0025/faux-olive-trees-l.jpg,2026/7/9,fall,artificial plants
Faux Mixed Autumnal Centerpiece,$ 169,potterybarn,https://www.potterybarn.com/products/faux-autumnal-mixed-bundle/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202625/0005/faux-mixed-autumnal-centrepiece-l.jpg,2026/7/9,fall,artificial plants
Faux Oversized Golden Maple Branch,$ 79.50,potterybarn,https://www.potterybarn.com/products/oversized-golden-green-maple-leaf-branch/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202622/0468/faux-oversized-golden-maple-branch-l.jpg,2026/7/9,fall,artificial plants
Faux Cream Cone Hydrangea Bundle,$ 69.50,potterybarn,https://www.potterybarn.com/products/cream-cone-hydrangea-bundle/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202620/0177/faux-cream-cone-hydrangea-bundle-l.jpg,2026/7/9,fall,artificial plants
Faux Turning Leaf Bundle,$ 79.50,potterybarn,https://www.potterybarn.com/products/green-turning-leaf-bundle/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202621/0651/faux-green-turning-leaf-bundle-l.jpg,2026/7/9,fall,artificial plants
Faux Lit Black Potted Tree,$ 129,potterybarn,https://www.potterybarn.com/products/faux-black-potted-scary-tree/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202621/0013/faux-lit-black-potted-tree-l.jpg,2026/7/9,fall,artificial plants
Faux Composed Queen Anne's Lace Arrangement,$ 129,potterybarn,https://www.potterybarn.com/products/composed-queen-annes-lace-orange-arrangement/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202621/0820/faux-composed-queen-annes-lace-orange-arrangment-2-l.jpg,2026/7/9,fall,artificial plants
Faux Oak Leaf Branch,$ 79.50,potterybarn,https://www.potterybarn.com/products/oak-leaf-branch/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202618/0627/oak-leaf-branch-2-l.jpg,2026/7/9,fall,artificial plants
Faux Turning Curly Willow Branch,$ 59.50,potterybarn,https://www.potterybarn.com/products/turning-curly-willow-branch/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202621/0426/faux-turning-curly-willow-branch-l.jpg,2026/7/9,fall,artificial plants
Fantastical Forrest Composed Arrangement,$ 179,potterybarn,https://www.potterybarn.com/products/fantastical-forest-composed-arrangement/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202627/0321/fantastical-forrest-composed-arrangement-1-l.jpg,2026/7/9,fall,artificial plants
Faux Lit Black Berry Wreath,$ 149,potterybarn,https://www.potterybarn.com/products/faux-lit-black-berry-wreath/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202625/0112/faux-lit-black-berry-wreath-1-l.jpg,2026/7/9,fall,artificial plants
Faux Oak Leaf and Hydrangea Wreath & Garland,$ 179 – $ 229,potterybarn,https://www.potterybarn.com/products/oak-leaf-hydrangea-wreath-garland/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202627/0332/faux-oak-leaf-and-hydrangea-wreath-garland-l.jpg,2026/7/9,fall,artificial plants
Faux Maple Leaf & Berry Bundle,$ 59.50,potterybarn,https://www.potterybarn.com/products/maple-leaf-and-berry-bundle/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202622/0476/faux-maple-leaf-and-berry-bundle-l.jpg,2026/7/9,fall,artificial plants
Faux Queen Anne's Lace Branch,$ 24.50,potterybarn,https://www.potterybarn.com/products/queen-annes-lace-with-leaf-branch/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202622/0476/faux-queen-annes-lace-branch-l.jpg,2026/7/9,fall,artificial plants
Antique Copper Botanical Branch,$ 129,potterybarn,https://www.potterybarn.com/products/antique-copper-botanical-branch/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202621/0654/antique-copper-botanical-branch-l.jpg,2026/7/9,fall,artificial plants
Faux Yellow Dahlia Bundle,$ 59.50,potterybarn,https://www.potterybarn.com/products/faux-yellow-dahlia-flower-bundle/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202623/0015/faux-yellow-dahlia-bundle-l.jpg,2026/7/9,fall,artificial plants
Faux Aspen Leaf Tree,$ 599,potterybarn,https://www.potterybarn.com/products/aspen-leaf-tree/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202627/0379/faux-aspen-leaf-tree-l.jpg,2026/7/9,fall,artificial plants
Faux Lit Black Maple Leaf Garland,$ 129,potterybarn,https://www.potterybarn.com/products/faux-lit-black-maple-leaf-garland/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202625/0003/faux-lit-black-maple-leaf-garland-l.jpg,2026/7/9,fall,artificial plants
Faux Fading Olive Branch,$ 59,potterybarn,https://www.potterybarn.com/products/faux-fading-olive-branch/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202623/0012/faux-fading-olive-branch-l.jpg,2026/7/9,fall,artificial plants
Faux Willow Eucalyptus Bundle,$ 54.50,potterybarn,https://www.potterybarn.com/products/faux-willow-eucalyptus-bundle/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202620/0165/faux-willow-eucalyptus-bundle-l.jpg,2026/7/9,fall,artificial plants
Faux Shady Lady Olive Tree,$ 599,potterybarn,https://www.potterybarn.com/products/faux-shady-lady-olive-tree/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202624/0082/faux-shady-lady-olive-tree-l.jpg,2026/7/9,fall,artificial plants
Faux Dusty Green Hydrangea Bundle,$ 69.50,potterybarn,https://www.potterybarn.com/products/dusty-green-hydrangea-bundle/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202620/0182/faux-dusty-green-hydrangea-bundle-1-l.jpg,2026/7/9,fall,artificial plants
Faux Composed Hydrangea Arrangement,$ 129,potterybarn,https://www.potterybarn.com/products/composed-hydrangea-arrangement-burgundy/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202622/0425/faux-composed-hydrangea-arrangement-l.jpg,2026/7/9,fall,artificial plants
Faux Chocolate Berry Branch,$ 34.50,potterybarn,https://www.potterybarn.com/products/chocolate-turning-berry-branch/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202622/0466/faux-chocolate-turning-berry-branch-l.jpg,2026/7/9,fall,artificial plants
Dried Flower Vase Filler,$ 39.50,potterybarn,https://www.potterybarn.com/products/dried-flower-vase-filler/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202626/0760/dried-flower-vase-filler-1-l.jpg,2026/7/9,fall,artificial plants
Faux Aspen Leaf Branch,$ 49.50,potterybarn,https://www.potterybarn.com/products/aspen-leaf-branch/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202622/0431/faux-aspen-leaf-branch-l.jpg,2026/7/9,fall,artificial plants
Faux Oak Leaf & Camel Hydrangea Bundle,$ 89.50,potterybarn,https://www.potterybarn.com/products/oak-leaf-hydrangea-bundle-camel/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202622/0472/faux-camel-oak-leaf-hydrangea-bundle-l.jpg,2026/7/9,fall,artificial plants
Faux Dried Hydrangea Bundle,$ 59.50,potterybarn,https://www.potterybarn.com/products/turning-dried-hydrangea-bundle/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202622/0895/turning-dried-hydrangea-bundle-1-l.jpg,2026/7/9,fall,artificial plants
Faux Silver Dollar Eucalyptus Tree,$ 399,potterybarn,https://www.potterybarn.com/products/silver-dollar-eucalyptus-tree/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202624/0164/img394l.jpg,2026/7/9,fall,artificial plants
Faux Budding Branch,$ 39.50,potterybarn,https://www.potterybarn.com/products/budding-branch-green/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202622/0474/faux-budding-branch-green-1-l.jpg,2026/7/9,fall,artificial plants
Faux Oversized Cone Hydrangea Bundle,$ 79.50,potterybarn,https://www.potterybarn.com/products/faux-oversized-cone-hydrangea-bundle/?subGroupId=faux-oversized-cone-hydrangea-bundle-SPAF-color-green-color,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202623/0080/img166xl.jpg,2026/7/9,fall,artificial plants
Faux Oversized Golden Leaf and Berry Wreath,$ 199,potterybarn,https://www.potterybarn.com/products/golden-leaf-berry-wreath-garland/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202619/0072/faux-golden-leaf-and-berry-wreath-garland-4-l.jpg,2026/7/9,fall,artificial plants
