Name,Price,Store Name,Product Link,Main Img Link,Date,Season,Category
"Artificial Antler Leaves 33""",$25.99,prestigebotanicals,https://prestigebotanicals.com/products/artificial-antler-leaves-33,https://prestigebotanicals.com/cdn/shop/files/PF239-Fall-Foliage-Antler-Leaves_74562577-e227-4fa0-9802-916069a1476d.jpg,2026/7/9,fall,artificial plants
"Artificial Maple Leaves 37""",$26.99,prestigebotanicals,https://prestigebotanicals.com/products/maple-leaf-spray-37,https://prestigebotanicals.com/cdn/shop/files/PF159-Artificial-Fall-Maple-Leaves.jpg,2026/7/9,fall,artificial plants
"Artificial Oak Leaves with Acorns 28""",$21.99,prestigebotanicals,https://prestigebotanicals.com/products/artificial-oak-leaves-with-acorns-28,https://prestigebotanicals.com/cdn/shop/files/PF253-Fall-Oak-Leaves-with-Acorns_f7f300ee-565d-4fec-8194-eee7302b86b8.jpg,2026/7/9,fall,artificial plants
"Fall Foliage Faux Oak Leaves 37.5""",$21.99,prestigebotanicals,https://prestigebotanicals.com/products/fall-foliage-faux-oak-leaves-37-5,https://prestigebotanicals.com/cdn/shop/files/PF238-Artificial-Orange-Oak-Leaves_60c78b6b-5278-435d-8b98-8aa998f11bf5.jpg,2026/7/9,fall,artificial plants
"Artificial Yellow Sunflower 35""",$20.99,prestigebotanicals,https://prestigebotanicals.com/products/sunflower-35,https://prestigebotanicals.com/cdn/shop/files/PF161-Yellow-Sunflower-Stem.jpg,2026/7/9,fall,artificial plants
"Small Sunflower in Yellow 35""",$31.99,prestigebotanicals,https://prestigebotanicals.com/products/sunflower-spray-35,https://prestigebotanicals.com/cdn/shop/files/PF162-Gold-Yellow-Sunflower-Spray_1a01ef64-ed74-4c89-8ea3-3510d8ca1e6a.jpg,2026/7/9,fall,artificial plants
"Artificial Purple Sunflower 30""",$24.99,prestigebotanicals,https://prestigebotanicals.com/products/artificial-purple-sunflower-30,https://prestigebotanicals.com/cdn/shop/files/PF237-Purple-Sunflower_a0963877-7988-469b-bff1-5fa8fb898579.jpg,2026/7/9,fall,artificial plants
"Real Touch Prestige Sunset Rose 22""",$40.99,prestigebotanicals,https://prestigebotanicals.com/products/real-touch-prestige-sunset-rose-22,https://prestigebotanicals.com/cdn/shop/files/PF255-Real-Touch-Prestige-Sunset-Rose_0a1f0230-9ee0-4236-890a-a2ce7622f6a5.jpg,2026/7/9,fall,artificial plants
"Burgundy Smoketree Foliage 41""",$20.99,prestigebotanicals,https://prestigebotanicals.com/products/euphorbia-continifolia-41,https://prestigebotanicals.com/cdn/shop/files/PF270-Smoketree-Leaves-in-Burgundy.jpg,2026/7/9,fall,artificial plants
"Artificial Pomegranate Branch 31""",$32.99,prestigebotanicals,https://prestigebotanicals.com/products/artificial-pomegranate-fruit-branch,https://prestigebotanicals.com/cdn/shop/files/PF261-Pomegranate-Branch.jpg,2026/7/9,fall,artificial plants
