Name,Price,Store Name,Product Link,Main Img Link,Date,Season,Category
Transpac 28 in Multicolor Harvest Eucalyptus and Floral Swag for Fall Autumn Artificial Plants,$21.99,target,https://www.target.com/p/transpac-nylon-28-in-multicolor-harvest-eucalyptus-and-floral-swag/-/A-93987886#lnk=sametab,https://target.scene7.com/is/image/Target/GUEST_b399cacd-ff9c-46f5-a7d0-581a4b4aab8f?wid=1200&hei=1200&qlt=80,2026/7/9,fall,artificial plants
"Artificial Pterocarpus Leaf Tree - Threshold™ designed with Studio McGee: Indoor Polyester Faux Plant, No Assembly Required",$150.00,target,https://www.target.com/p/artificial-pterocarpus-leaf-tree-threshold-8482-designed-with-studio-mcgee/-/A-88656870#lnk=sametab,https://target.scene7.com/is/image/Target/GUEST_5b428bf6-97ce-467c-92a7-a9922e6b1761?wid=1200&hei=1200&qlt=80,2026/7/9,fall,artificial plants
"90"" Artificial Olive Tree - Threshold™ designed with Studio McGee: No Assembly, Indoor Polyester Decor",$250.00,target,https://www.target.com/p/93-34-artificial-olive-tree-threshold-8482-designed-with-studio-mcgee/-/A-81819914#lnk=sametab,https://target.scene7.com/is/image/Target/GUEST_0f49d888-7124-41ce-aa4d-2377523b0906?wid=1200&hei=1200&qlt=80,2026/7/9,fall,artificial plants
"76.5""x 30"" Artificial Olive Tree in Ceramic Pot - Threshold™ designed with Studio McGee: Indoor Faux Plant Decor, No Assembly Required",$180.00,target,https://www.target.com/p/76-5-34-x-30-34-artificial-olive-tree-in-ceramic-pot-threshold-8482-designed-with-studio-mcgee/-/A-79493198#lnk=sametab,https://target.scene7.com/is/image/Target/GUEST_6754287e-8f9f-4365-95da-09a8ddfc62c1?wid=1200&hei=1200&qlt=80,2026/7/9,fall,artificial plants
"72"" Artificial Ficus Tree - Threshold™ designed with Studio McGee",$150.00,target,https://www.target.com/p/72-34-artificial-ficus-tree-threshold-8482-designed-with-studio-mcgee/-/A-81819967#lnk=sametab,https://target.scene7.com/is/image/Target/GUEST_f100091e-9267-485d-917f-b1224369c5fc?wid=1200&hei=1200&qlt=80,2026/7/9,fall,artificial plants
"Gallerie II Pinecones Decorative Hanging Jute Bell Drop 22""",$14.99,target,https://www.target.com/p/gallerie-ii-bell-drop/-/A-82251317#lnk=sametab,https://target.scene7.com/is/image/Target/GUEST_93222e42-5d05-4691-b1f2-4f70b6e809d7?wid=1200&hei=1200&qlt=80,2026/7/9,fall,artificial plants
"Vickerman 14"" Mocha Autumn Artificial Mixed Bouquet, 3 per bag.",$17.23,target,https://www.target.com/p/vickerman-14-mocha-autumn-artificial-mixed-bouquet-3-per-bag/-/A-87664729#lnk=sametab,https://target.scene7.com/is/image/Target/GUEST_e8ce6cac-8d30-421a-a3f4-4aaba530c162?wid=1200&hei=1200&qlt=80,2026/7/9,fall,artificial plants
"Northlight Sunflowers and Maple Leaves Artificial Fall Harvest Flower Arrangement - 10""",$29.99,target,https://www.target.com/p/northlight-10-yellow-and-brown-sunflowers-and-leaves-fall-harvest-floral-arrangement/-/A-81778508#lnk=sametab,https://target.scene7.com/is/image/Target/GUEST_df09ecf6-d69c-435b-91e2-756c427e509a?wid=1200&hei=1200&qlt=80,2026/7/9,fall,artificial plants
"Northlight Fountain Grass Artificial Fall Harvest Spray - 35""",$26.39,target,https://www.target.com/p/northlight-35-flocked-fountain-grass-artificial-fall-harvest-spray/-/A-89197654#lnk=sametab,https://target.scene7.com/is/image/Target/GUEST_0c9f2292-2d56-40e4-81f7-1f05284e325b?wid=1200&hei=1200&qlt=80,2026/7/9,fall,artificial plants
Transpac Harvest Fall Fabric Multicolor Artificial Leaf Spray 28 Inch Perfect for Thanksgiving Decor and Autumn Arrangements,$17.99,target,https://www.target.com/p/transpac-harvest-fall-fabric-multicolor-artificial-leaf-spray-28-inch/-/A-91871715#lnk=sametab,https://target.scene7.com/is/image/Target/GUEST_11e7c608-57a2-47b7-a546-fa3501c171dd?wid=1200&hei=1200&qlt=80,2026/7/9,fall,artificial plants
"Storied Home Dried Natural Sesame Flower Bunch, Green",$16.99,target,https://www.target.com/p/storied-home-dried-natural-sesame-flower-bunch-green/-/A-1006432139#lnk=sametab,https://target.scene7.com/is/image/Target/GUEST_bf0602af-e5de-4df4-82bc-8f26e268f9c8?wid=1200&hei=1200&qlt=80,2026/7/9,fall,artificial plants
"Northlight Glittered Flower Arrangement Box Fall Harvest Centerpiece - 14""",$41.99,target,https://www.target.com/p/northlight-14-autumn-harvest-maple-leaf-and-berry-arrangement-in-rustic-wooden-box-centerpiece/-/A-81588904#lnk=sametab,https://target.scene7.com/is/image/Target/GUEST_46dfff2c-3d3d-4492-883e-5f1999f1cd64?wid=1200&hei=1200&qlt=80,2026/7/9,fall,artificial plants
"REGALWOVEN Artificial Jasmine Flowers with Long Stems for Garden Window Decor 30.7"" 6 Pcs",$37.89,target,https://www.target.com/p/regalwoven-artificial-jasmine-flowers-with-long-stems-for-garden-window-decor-6-pcs/-/A-94203045?preselect=1000058986#lnk=sametab,https://target.scene7.com/is/image/Target/GUEST_daef8a61-8610-41a9-9dfe-30dc0f15d9db?wid=1200&hei=1200&qlt=80,2026/7/9,fall,artificial plants
"Northlight Pip Berry Clusters Artificial Fall Harvest Twig Wreath - 24""",$47.99,target,https://www.target.com/p/northlight-24-autumn-harvest-burgundy-berry-artificial-wreath-unlit/-/A-84825545#lnk=sametab,https://target.scene7.com/is/image/Target/GUEST_279bd67e-8b0d-4b80-a2ce-dc45b17ab442?wid=1200&hei=1200&qlt=80,2026/7/9,fall,artificial plants
Seasonal LLC Artificial Potted Snake Plant 31in,$78.99,target,https://www.target.com/p/seasonal-llc-artificial-potted-snake-plant-31in/-/A-1002468317#lnk=sametab,https://target.scene7.com/is/image/Target/GUEST_ca189cfd-be15-4c5b-a125-8cf50343a597?wid=1200&hei=1200&qlt=80,2026/7/9,fall,artificial plants
Transpac 6.89 in Brown Autumn Woodland Animal with Bouquet Fall Thanksgiving Decorative Resin Object,$15.99,target,https://www.target.com/p/transpac-resin-6-89-in-brown-autumn-woodland-animal-with-bouquet/-/A-84700007#lnk=sametab,https://target.scene7.com/is/image/Target/GUEST_6eb1b14d-c46f-4664-ae81-0a2f2ec00a97?wid=1200&hei=1200&qlt=80,2026/7/9,fall,artificial plants
"Crystal Expressions 3.5 Inch Harvest Posy Pot , Fall Faceted Flowers Barrel (1PC)",$25.00 - $28.00,target,https://www.target.com/p/crystal-expressions-3-5-inch-harvest-posy-pot-fall-faceted-flowers-barrel-figurines/-/A-89872469?preselect=89872468#lnk=sametab,https://target.scene7.com/is/image/Target/GUEST_c835c49e-088d-4b9c-aaaf-435935c9788c?wid=1200&hei=1200&qlt=80,2026/7/9,fall,artificial plants
Seasonal LLC Artificial Potted Ficus Tree 67in,$144.99,target,https://www.target.com/p/seasonal-llc-artificial-potted-ficus-tree-67in/-/A-1002468304#lnk=sametab,https://target.scene7.com/is/image/Target/GUEST_cb3f0749-809c-4cd2-aa15-290016e052f3?wid=1200&hei=1200&qlt=80,2026/7/9,fall,artificial plants
"Vickerman 12"" Tortum Bundle, Preserved",$42.99,target,https://www.target.com/p/vickerman-12-tortum-bundle-preserved/-/A-82832246?preselect=82832255#lnk=sametab,https://target.scene7.com/is/image/Target/GUEST_58055210-01c9-4a07-ad4f-c793340c2245?wid=1200&hei=1200&qlt=80,2026/7/9,fall,artificial plants
"REGALWOVEN Silk Bouquet Artificial Hydrangea Flowers 22.8"" 6 Pcs",$29.89,target,https://www.target.com/p/regalwoven-silk-bouquet-artificial-hydrangea-flowers-22-8-6-pcs/-/A-94189644?preselect=94189648#lnk=sametab,https://target.scene7.com/is/image/Target/GUEST_7d5c0267-9bd0-447c-9f0a-4139ce1a9311?wid=1200&hei=1200&qlt=80,2026/7/9,fall,artificial plants
"Nearly Natural 33” Fall Sunflower, Hydrangea and White Pumpkin Artificial Autumn Teardrop",$39.99,target,https://www.target.com/p/nearly-natural-33-fall-sunflower-hydrangea-and-white-pumpkin-artificial-autumn-teardrop/-/A-90127409#lnk=sametab,https://target.scene7.com/is/image/Target/GUEST_035e0492-ec1b-4895-89fb-86020a6a8ff9?wid=1200&hei=1200&qlt=80,2026/7/9,fall,artificial plants
"Northlight Autumn Harvest Triple Candle Holder with Artificial Fall Foliage - 22""",$63.99,target,https://www.target.com/p/northlight-22-autumn-harvest-triple-candle-holder-with-artificial-fall-foliage/-/A-89164831#lnk=sametab,https://target.scene7.com/is/image/Target/GUEST_176a57e9-a368-4ff9-91ad-a05736dea7be?wid=1200&hei=1200&qlt=80,2026/7/9,fall,artificial plants
"Vickerman 19"" Brown Artificial Leaf Pick, 6 per bag.",$25.99,target,https://www.target.com/p/vickerman-19-brown-artificial-leaf-pick-6-per-bag/-/A-88165577#lnk=sametab,https://target.scene7.com/is/image/Target/GUEST_b9ff994c-9a82-4295-9f71-ba04224f481a?wid=1200&hei=1200&qlt=80,2026/7/9,fall,artificial plants
"Northlight Pumpkins, Wheat and Pinecones 'Thankful' Wood Box Fall Harvest Centerpiece - 21""",$78.99,target,https://www.target.com/p/northlight-21-autumn-harvest-arrangement-in-a-thankful-rustic-wooden-box-centerpiece/-/A-81510757#lnk=sametab,https://target.scene7.com/is/image/Target/GUEST_acd4bcc7-4dcb-4b7f-ac54-257232dbfdcc?wid=1200&hei=1200&qlt=80,2026/7/9,fall,artificial plants
