Name,Price,Store Name,Product Link,Main Img Link,Date,Season,Category
Artificial Green Dried Hydrangea,£18.50,the faux flower company,https://thefauxflowercompany.com/products/green-dried-hydrangea,https://thefauxflowercompany.com/cdn/shop/files/artificial-flowers-luxury-lifelike-faux-artificial-green-dried-hydrangea-realistic-silk-single-stems-buy-online-from-the-faux-flower-company-1107222082.jpg?v=1762896516&width=2409,2026/7/9,fall,artificial plants
Artificial Green Tall Eucalyptus,£11.50,the faux flower company,https://thefauxflowercompany.com/products/green-eucalyptus-stem,https://thefauxflowercompany.com/cdn/shop/files/artificial-flowers-luxury-lifelike-faux-artificial-green-tall-eucalyptus-realistic-silk-single-stems-buy-online-from-the-faux-flower-company-abz1129gr-6-910599451.jpg?v=1756705342&width=2576,2026/7/9,fall,artificial plants
Artificial Eucalyptus Spray,£13.00,the faux flower company,https://thefauxflowercompany.com/products/artificial-green-eucalyptus-flower,https://thefauxflowercompany.com/cdn/shop/files/artificial-flowers-luxury-lifelike-faux-artificial-eucalyptus-spray-realistic-silk-single-stems-buy-online-from-the-faux-flower-company-1176250254.jpg?v=1756705328&width=2357,2026/7/9,fall,artificial plants
Artificial Green Tall Foxtail Grass,£11.00,the faux flower company,https://thefauxflowercompany.com/products/artificial-flower-green-tall-grass,https://thefauxflowercompany.com/cdn/shop/files/artificial-flowers-luxury-lifelike-faux-artificial-green-tall-foxtail-grass-realistic-silk-single-stems-buy-online-from-the-faux-flower-company-1077061715.jpg?v=1756705305&width=2367,2026/7/9,fall,artificial plants
Artificial Yellow Oncidium Orchid,£24.00,the faux flower company,https://thefauxflowercompany.com/products/oncidium-stem-yellow,https://thefauxflowercompany.com/cdn/shop/files/artificial-yellow-oncidium-orchid-aby7044yl-1240628773.jpg?v=1779901751&width=3050,2026/7/9,fall,artificial plants
White Artificial Hydrangea Arrangement,£43.50,the faux flower company,https://thefauxflowercompany.com/products/white-short-hydrangea-bouquet,https://thefauxflowercompany.com/cdn/shop/files/artificial-flowers-luxury-lifelike-faux-white-artificial-hydrangea-bouquet-realistic-silk-bouquet-buy-online-from-the-faux-flower-company-abx5001wh-36-3-910135477.jpg?v=1745949441&width=1906,2026/7/9,fall,artificial plants
Artificial Sage Green Hydrangea,£15.00,the faux flower company,https://thefauxflowercompany.com/products/green-late-season-hydrangea,https://thefauxflowercompany.com/cdn/shop/files/artificial-sage-green-hydrangea-abx5005gr-1240628820.jpg?v=1779902831&width=3050,2026/7/9,fall,artificial plants
Artificial Green Paniculata Hydrangea,£12.00,the faux flower company,https://thefauxflowercompany.com/products/green-paniculata-hydrangea,https://thefauxflowercompany.com/cdn/shop/files/artificial-green-paniculata-hydrangea-abx5004gr-1240622691.jpg?v=1779900251&width=3024,2026/7/9,fall,artificial plants
Artificial Blue Dried Hydrangea,£18.50,the faux flower company,https://thefauxflowercompany.com/products/deep-blue-hydrangea-short,https://thefauxflowercompany.com/cdn/shop/files/artificial-blue-dried-hydrangea-aby5070bl-1240616332.jpg?v=1779885973&width=2554,2026/7/9,fall,artificial plants
Artificial Red Rosehips,£7.00,the faux flower company,https://thefauxflowercompany.com/products/rosehips,https://thefauxflowercompany.com/cdn/shop/files/artificial-flowers-luxury-lifelike-faux-artificial-red-rosehips-realistic-silk-single-stems-buy-online-from-the-faux-flower-company-910143044.jpg?v=1756705284&width=2715,2026/7/9,fall,artificial plants
Artificial Rich Green Foliage Leaves,£7.50,the faux flower company,https://thefauxflowercompany.com/products/green-rich-foliage,https://thefauxflowercompany.com/cdn/shop/files/artificial-flowers-luxury-lifelike-faux-artificial-rich-green-foliage-leaves-realistic-silk-single-stems-buy-online-from-the-faux-flower-company-1176337456.jpg?v=1756705295&width=2408,2026/7/9,fall,artificial plants
Artificial Burgundy Eucalyptus,£11.00,the faux flower company,https://thefauxflowercompany.com/products/burgundy-artificial-eucalyptus,https://thefauxflowercompany.com/cdn/shop/files/artificial-flowers-luxury-lifelike-faux-artificial-burgundy-eucalyptus-bunch-of-6-realistic-silk-bunches-buy-online-from-the-faux-flower-company-abz0076bd-6-1073673018.jpg?v=1756705257&width=1733,2026/7/9,fall,artificial plants
Artificial Green Willow Eucalyptus,£5.00,the faux flower company,https://thefauxflowercompany.com/products/green-willow-eucalyptus-short,https://thefauxflowercompany.com/cdn/shop/files/artificial-flowers-luxury-lifelike-faux-artificial-green-willow-eucalyptus-realistic-silk-single-stems-buy-online-from-the-faux-flower-company-1176347805.jpg?v=1756705265&width=1956,2026/7/9,fall,artificial plants
Artificial White Oncidium Orchid,£24.00,the faux flower company,https://thefauxflowercompany.com/products/artificial-white-oncidium-stem,https://thefauxflowercompany.com/cdn/shop/files/artificial-flowers-luxury-lifelike-faux-artificial-white-oncidium-orchid-realistic-silk-single-stems-buy-online-from-the-faux-flower-company-910596593.jpg?v=1756705385&width=3024,2026/7/9,fall,artificial plants
Artificial Giant Sunflower With Leaves,£15.00,the faux flower company,https://thefauxflowercompany.com/products/artificial-giant-sunflower-with-leaves,https://thefauxflowercompany.com/cdn/shop/files/artificial-flowers-luxury-lifelike-faux-artificial-giant-sunflower-with-leaves-realistic-silk-buy-online-from-the-faux-flower-company-ahch-2890-1199101885.jpg?v=1761144798&width=3144,2026/7/9,fall,artificial plants
Artificial Green Bracken Fern,£7.50,the faux flower company,https://thefauxflowercompany.com/products/artificial-flower-green-seven-fern-spray,https://thefauxflowercompany.com/cdn/shop/files/artificial-flowers-luxury-lifelike-faux-artificial-green-bracken-fern-realistic-silk-single-stems-buy-online-from-the-faux-flower-company-1176337454.jpg?v=1756705308&width=1810,2026/7/9,fall,artificial plants
Artificial Dried Look Sunflower With Leaves,£9.00,the faux flower company,https://thefauxflowercompany.com/products/artificial-dried-look-sunflower-with-leaves,https://thefauxflowercompany.com/cdn/shop/files/artificial-flowers-luxury-lifelike-faux-artificial-dried-look-sunflower-with-leaves-realistic-silk-buy-online-from-the-faux-flower-company-ahch-8490-1199101882.jpg?v=1761144789&width=3092,2026/7/9,fall,artificial plants
Artificial Red Dried Hydrangea,£18.50,the faux flower company,https://thefauxflowercompany.com/products/artificial-red-dried-hydrangea-flower,https://thefauxflowercompany.com/cdn/shop/files/artificial-red-dried-hydrangea-aby5070rd-1240622636.jpg?v=1779893413&width=3050,2026/7/9,fall,artificial plants
Artificial Silver & Grey Berries,£6.50,the faux flower company,https://thefauxflowercompany.com/products/grey-silver-berry-spray,https://thefauxflowercompany.com/cdn/shop/files/artificial-flowers-luxury-lifelike-faux-artificial-silver-grey-berries-realistic-silk-single-stems-buy-online-from-the-faux-flower-company-1176347797.jpg?v=1756705262&width=2417,2026/7/9,fall,artificial plants
Burgundy & Blush Artificial Flower Arrangement,From £190.00,the faux flower company,https://thefauxflowercompany.com/products/burgundy-blush-artificial-flower-arrangement,https://thefauxflowercompany.com/cdn/shop/files/burgundy-blush-artificial-flower-arrangement-1220743659.jpg?v=1770908110&width=3211,2026/7/9,fall,artificial plants
