Name,Price,Store Name,Product Link,Main Img Link,Date,Season,Category
"Plymouth Crackers, Set of 12",$39.95 ,williams sonoma,https://www.williams-sonoma.com/products/turkey-crackers/,https://assets.wsimgs.com/wsimgs/rk/images/dp/wcm/202605/0706/img142z.jpg,2026/7/9,fall,artificial plants
Fall Pumpkin & Maple Leaves UV Protected Faux Wreath & Garland,$139.95 ,williams sonoma,https://www.williams-sonoma.com/products/faux-fall-pumpkin-maple-leaves-wreath-and-garland/,https://assets.wsimgs.com/wsimgs/rk/images/dp/wcm/202606/0020/fall-pumpkin-maple-leaves-uv-protected-faux-wreath-garland-z.jpg,2026/7/9,fall,artificial plants
"Seeds and Berries Magnolia Live Wreath, 22""",$119.95 ,williams sonoma,https://www.williams-sonoma.com/products/seeds-and-berries-magnolia-wreath/,https://assets.wsimgs.com/wsimgs/rk/images/dp/wcm/202605/0716/img30z.jpg,2026/7/9,fall,artificial plants
"Gather Together Live Wreath, 22""",$99.95 ,williams sonoma,https://www.williams-sonoma.com/products/gather-together-wreath/,https://assets.wsimgs.com/wsimgs/rk/images/dp/wcm/202625/0104/img6z.jpg,2026/7/9,fall,artificial plants
Proven?al Faux Floral Arrangement,$739.95 ,williams sonoma,https://www.williams-sonoma.com/products/provence-faux-floral-arrangement/,https://assets.wsimgs.com/wsimgs/rk/images/dp/wcm/202627/0031/img3z.jpg,2026/7/9,fall,artificial plants
Magnolia Live Wreath & Garland,$99.95 ,williams sonoma,https://www.williams-sonoma.com/products/magnolia-wreath-fa-14/,https://assets.wsimgs.com/wsimgs/rk/images/dp/wcm/202610/0022/magnolia-live-wreath-garland-z.jpg,2026/7/9,fall,artificial plants
Williams Sonoma Pumpkin Spice Hand Soap & Dish Soap 3-Piece Kitchen Set,$49.85 ,williams sonoma,https://www.williams-sonoma.com/products/pumpkin-spice-hand-soap-dish-soap-classic-3-piece-set/,https://assets.wsimgs.com/wsimgs/rk/images/dp/wcm/202612/0034/img18z.jpg,2026/7/9,fall,artificial plants
Fresh Magnolia Branches,$34.95 ,williams sonoma,https://www.williams-sonoma.com/products/magnolia-branches/,https://assets.wsimgs.com/wsimgs/rk/images/dp/wcm/202618/0012/img14z.jpg,2026/7/9,fall,artificial plants
Harvest Pumpkin Personalized Doormat,$59.95 ,williams sonoma,https://www.williams-sonoma.com/products/harvest-pumpkin-doormat/,https://assets.wsimgs.com/wsimgs/rk/images/dp/wcm/202614/0042/img2z.jpg,2026/7/9,fall,artificial plants
Happy Feet Harvest Bloom Cushioned Kitchen Mat,$59.95 ,williams sonoma,https://www.williams-sonoma.com/products/harvest-bloom-cushioned-kitchen-mat/,https://assets.wsimgs.com/wsimgs/rk/images/dp/wcm/202607/0550/img1z.jpg,2026/7/9,fall,artificial plants
